,AREA,,,,,,,,,,,,,,CASES/DEATHS: LAST WEEK (July 28-August 3),,,,,CASES/DEATHS: % CHANGE FROM PREVIOUS WEEK,,CASES/DEATHS: PREVIOUS WEEK (July 21-27),,,,,CASES/DEATHS: OTHER METRICS,,,,,,,,,,"VIRAL (RT-PCR) LAB TESTING: LAST WEEK (July 26-August 1, Test Volume July 22-28)",,,,,VIRAL (RT-PCR) LAB TESTING: % CHANGE FROM PREVIOUS WEEK,,,,"VIRAL (RT-PCR) LAB TESTING: PREVIOUS WEEK (July 19-25, Test Volume July 15-21)",,,,,HOSPITAL UTILIZATION: LAST WEEK (July 27-August 2),,,,,,,,,,HOSPITAL UTILIZATION: CHANGE FROM PREVIOUS WEEK,,,,,,,HOSPITAL REPORTING AND CAPACITY,,,,,,,,COVID-19 VACCINATION DATA: CUMULATIVE (August 4),,,,COVID-19 VACCINATION DATA: DEMOGRAPHIC DATA LAST WEEK,,,,,,COVID-19 VACCINATION DATA: DEMOGRAPHIC DATA % CHANGE FROM PREVIOUS WEEK,,,COVID-19 VACCINATION DATA: DEMOGRAPHIC DATA CUMULATIVE,,,,,,,,,,,,DEMOGRAPHIC DETAILS,,,,,,,,,,FORECASTING RESULTS (August 2)
County,FIPS code,County type,CBSA,CBSA type,State Abbreviation,FEMA region,Population,Population as a percent of CBSA,Population as a percent of state,Population as a percent of national population,IHE with >5000 full-time enrollment,IHE Full-time enrollment,IHE Full-time enrollment as a percent of the population,% Non-Hispanic White,Cases as a percent of national total - last 7 days,Cases - last 7 days,Cases per 100k - last 7 days,Deaths - last 7 days,Deaths per 100k - last 7 days,Cases - % change,Deaths - % change,Cases as a percent of national total - previous 7 days,Cases - previous 7 days,Cases per 100k - previous 7 days,Deaths - previous 7 days,Deaths per 100k - previous 7 days,Cumulative cases,Cumulative cases per 100k,Cumulative deaths,Cumulative deaths per 100k,Rapid rise (last 14 days),Number of days of downward case trajectory,Area of Concern Category,Rapid Riser Category,Community Transmission Level - last 7 days,Community Transmission Level - previous 7 days,Viral (RT-PCR) lab test positivity rate - last 7 days (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - last 7 days (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - last 7 days (may be an underestimate due to delayed reporting),Median test latency - last 7 days,% tests resulted in 3 or fewer days - last 7 days,Viral (RT-PCR) lab test positivity rate - absolute change (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - % change (may be an underestimate due to delayed reporting),Testing latency - absolute change,% tests resulted in 3 or fewer days - absolute change,Viral (RT-PCR) lab test positivity rate - previous 7 days (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - previous 7 days (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - previous 7 days (may be an underestimate due to delayed reporting),Median test latency - previous 7 days,% tests resulted in 3 or fewer days - previous 7 days,Confirmed COVID-19 admissions - last 7 days,Confirmed COVID-19 admissions per 100 inpatient beds - last 7 days,Suspected COVID-19 admissions - last 7 days,Suspected COVID-19 admissions per 100 inpatient beds - last 7 days,% inpatient beds occupied,% inpatient beds occupied by COVID-19 patient,% staffed adult ICU beds occupied,% staffed adult ICU beds occupied by COVID-19 patient,% ventilators in use,% ventilators in use by COVID-19 patient,Confirmed COVID-19 admissions - percent change,% inpatient beds occupied - absolute change,% inpatient beds occupied by COVID-19 patient - absolute change,% staffed adult ICU beds occupied - absolute change,% staffed adult ICU beds occupied by COVID-19 patient - absolute change,% ventilators in use - absolute change,% ventilators in use by COVID-19 patient - absolute change,Total # of hospital CCNs,Total inpatient beds among hospitals reporting - last 7 days,Total staffed adult ICU beds among hospitals reporting - last 7 days,Total ventilators among hospitals reporting - last 7 days,% hospital CCNs reporting any utilization data at least once - last 7 days,% hospital CCNs reporting all utilization data  at least once - last 7 days,% hospital CCNs ever reporting utilization data,% hospital CCNs reporting COVID-19 admissions at least once - last 7 days,People with at least 1 dose,People with at least 1 dose as % of total population,People who are fully vaccinated,People who are fully vaccinated as % of total population,People initiating vaccination - last 7 days - ages 12-17,People initiating vaccination as % of population - last 7 days - ages 12-17,People initiating vaccination - last 7 days - ages 18+,People initiating vaccination as % of population - last 7 days - ages 18+,People initiating vaccination - last 7 days - ages 65+,People initiating vaccination as % of population - last 7 days - ages 65+,People initiating vaccination as % of population - absolute change - ages 12-17,People initiating vaccination as % of population - absolute change - ages 18+,People initiating vaccination as % of population - absolute change - ages 65+,People with at least 1 dose - ages 12-17,People with at least 1 dose as % of population - ages 12-17,People who are fully vaccinated - ages 12-17,People who are fully vaccinated as % of population - ages 12-17,People with at least 1 dose - ages 18+,People with at least 1 dose as % of population - ages 18+,People who are fully vaccinated - ages 18+,People who are fully vaccinated as % of population - ages 18+,People with at least 1 dose - ages 65+,People with at least 1 dose as % of population - ages 65+,People who are fully vaccinated - ages 65+,People who are fully vaccinated as % of population - ages 65+,% Uninsured,% In Poverty,% Over Age 65,Average household size,% Non-Hispanic Black,% Hispanic,% Non-Hispanic Native American / Alaskan Native,% Non-Hispanic Asian,SVI score,CCVI score,Forecasted case trajectory
"Los Angeles County, CA",6037,Large central metro,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan,CA,9,10039107,0.76,0.254,0.03,11,260018,0.026,0.26,0.031,19880,198,58,0.6,0.18,0.23,0.039,16911,168,47,0.5,1307970,13029,24705,246,5,0,SustainedHotspot,Recent,High,High,0.061,318531,3173,,,0.009,0.12,,,0.052,284584,2835,,,1077,6.1,646,3.7,0.78,0.06,0.72,0.11,0.24,0.02,0.29,0.01,0.02,0.02,0.04,0,0.01,91,17630,2042,5253,0.95,0.92,0.98,0.95,6282922,0.626,5418139,0.54,21542,0.03,86644,0.011,7477,0.005,0.0052,0.0013,-0.0002,402526,0.555,325191,0.449,5862426,0.743,5081381,0.644,1214874,0.859,1045794,0.74,0.11,0.16,0.14,3,0.08,0.49,0,0.15,0.77,0.49,Uncertain
"Miami-Dade County, FL",12086,Large central metro,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,FL,4,2716940,0.441,0.127,0.008,3,60195,0.022,0.13,0.024,15584,574,0,0,0.41,,0.026,11087,408,0,0,549405,20221,6472,238,6,0,SustainedHotspot,,High,High,0.137,127552,4695,,,0.01,0.25,,,0.127,102206,3762,,,1168,19.3,150,2.5,0.89,0.19,0.82,0.24,0.31,0.09,0.14,0.01,0.06,0.01,0.06,0.03,0.04,22,6042,983,1879,1,0.91,1,1,2060158,0.758,1677683,0.617,9667,0.053,48411,0.022,4103,0.007,0.0078,0.0037,-0.0009,108302,0.594,65525,0.359,1950764,0.9,1611590,0.744,453000,0.999,380028,0.84,0.18,0.18,0.17,3.1,0.15,0.69,0,0.02,0.82,0.81,Uncertain
"Harris County, TX",48201,Large central metro,"Houston-The Woodlands-Sugar Land, TX",Metropolitan,TX,6,4713325,0.667,0.163,0.014,3,56479,0.012,0.29,0.021,13251,281,38,0.8,1.42,0.23,0.013,5470,116,31,0.7,427349,9067,6729,143,10,0,SustainedHotspot,Recent,High,High,0.174,77376,1642,1,0.98,0.019,0.41,0,0.01,0.155,55025,1167,1,0.97,1220,11,787,7.1,0.92,0.12,0.93,0.22,0.43,0.05,0.29,0,0.04,0.01,0.07,0.04,0.01,51,11082,1298,3303,0.92,0.88,0.96,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.16,0.11,2.9,0.19,0.44,0,0.07,0.72,0.56,Uncertain
"Maricopa County, AZ",4013,Large central metro,"Phoenix-Mesa-Chandler, AZ",Metropolitan,AZ,9,4485414,0.906,0.616,0.014,3,83484,0.019,0.55,0.015,9422,210,58,1.3,0.4,0.71,0.016,6747,150,34,0.8,586764,13082,10480,234,1,0,SustainedHotspot,Recent,High,High,0.143,54253,1210,1,1,0.019,0.02,0,0,0.124,52981,1181,1,1,604,5.9,676,6.6,0.68,0.06,0.54,0.13,0.32,0.07,0.43,0.01,0.02,0.03,0.04,0.02,0.01,42,10199,1452,1694,1,0.98,1,1,2256530,0.503,1906736,0.425,8574,0.023,28105,0.008,2428,0.003,0.0042,0.0012,0.0005,133508,0.366,99678,0.273,2122791,0.618,1807011,0.526,595549,0.855,507624,0.729,0.11,0.15,0.16,2.8,0.06,0.31,0.02,0.04,0.64,0.22,Uncertain
"Broward County, FL",12011,Large fringe metro,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,FL,4,1952778,0.317,0.091,0.006,1,13150,0.007,0.35,0.014,9081,465,0,0,0.5,,0.014,6055,310,0,0,271400,13898,3079,158,6,0,SustainedHotspot,Recent,High,High,0.172,74975,3839,,,0.019,0.24,,,0.153,60474,3097,,,1391,29.2,182,3.8,0.85,0.21,0.88,0.29,0.45,0.13,0.39,0.03,0.07,0.05,0.05,0.09,0.05,15,4767,540,922,1,1,1,1,1242897,0.636,1015066,0.52,5441,0.039,26964,0.017,2365,0.007,0.0048,0.0032,0.001,69627,0.498,47877,0.343,1172718,0.76,967122,0.627,319208,0.954,267521,0.8,0.15,0.13,0.17,2.8,0.28,0.31,0,0.04,0.58,0.61,Uncertain
"Duval County, FL",12031,Large central metro,"Jacksonville, FL",Metropolitan,FL,4,957755,0.614,0.045,0.003,2,22658,0.024,0.52,0.013,8343,871,0,0,0.3,,0.015,6425,671,0,0,126004,13156,1483,155,6,0,SustainedHotspot,Recent,High,High,0.266,38880,4059,,,0.004,0.28,,,0.262,30293,3163,,,996,30.3,172,5.2,0.85,0.31,0.95,0.53,0.55,0.33,0.33,0.02,0.1,0.04,0.13,0.06,0.09,8,3289,402,641,1,0.88,1,1,491613,0.513,405582,0.423,2735,0.041,17320,0.023,1493,0.011,0.0104,0.0059,0.0022,22349,0.334,14236,0.213,469175,0.632,391336,0.527,130623,0.942,113309,0.818,0.12,0.16,0.14,2.6,0.3,0.11,0,0.05,0.69,0.51,Uncertain
"Bexar County, TX",48029,Large central metro,"San Antonio-New Braunfels, TX",Metropolitan,TX,6,2003554,0.785,0.069,0.006,2,39255,0.02,0.27,0.013,8120,405,10,0.5,0.34,-0.47,0.014,6059,302,19,0.9,244802,12218,3684,184,9,0,SustainedHotspot,Continuing,High,High,0.208,37123,1853,1,1,0.047,0.43,0,0.03,0.162,25910,1293,1,0.96,714,11.9,175,2.9,0.7,0.09,0.9,0.32,0.41,0.07,0.43,0.07,0.04,-0.04,0.08,0.02,0.02,18,6021,612,1435,1,0.94,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.16,0.12,3,0.07,0.61,0,0.03,0.83,0.37,Uncertain
"Orange County, FL",12095,Large central metro,"Orlando-Kissimmee-Sanford, FL",Metropolitan,FL,4,1393452,0.534,0.065,0.004,1,50190,0.036,0.39,0.012,7931,569,0,0,0.48,,0.012,5351,384,0,0,165732,11894,1310,94,6,0,SustainedHotspot,Recent,High,High,0.204,35087,2518,,,0.03,0.26,,,0.174,27808,1996,,,1002,20.3,423,8.6,0.91,0.2,0.94,0.42,0.46,0.14,0.34,0.01,0.06,0,0.14,0.08,0.06,7,4929,479,851,1,0.86,1,1,834605,0.599,706019,0.507,3864,0.038,19143,0.018,1429,0.008,0.0048,0.0052,0.0023,55122,0.535,37150,0.361,776891,0.714,668455,0.615,159858,0.932,143203,0.835,0.15,0.16,0.12,2.8,0.2,0.33,0,0.05,0.67,0.55,Uncertain
"Hillsborough County, FL",12057,Large central metro,"Tampa-St. Petersburg-Clearwater, FL",Metropolitan,FL,4,1471968,0.461,0.069,0.004,2,40510,0.028,0.48,0.011,7198,489,0,0,0.36,,0.012,5308,361,0,0,164167,11153,1832,124,6,0,SustainedHotspot,Recent,High,High,0.202,35167,2389,,,0.024,0.3,,,0.178,27057,1838,,,744,18,179,4.3,0.86,0.13,0.82,0.23,0.31,0.07,0.41,0,0.05,0.02,0.1,0.02,0.03,12,4124,536,688,1,0.92,1,1,797053,0.541,647455,0.44,3214,0.03,16262,0.014,1412,0.007,0.0047,0.0035,0.0015,41688,0.384,30010,0.277,755205,0.659,617424,0.538,204189,0.954,157568,0.736,0.13,0.15,0.15,2.6,0.16,0.3,0,0.04,0.67,0.5,Uncertain
